State,Top Candy,Top Candy pounds,2nd Place,2nd Place pounds,3rd Place,3rd Place pounds,NAME,geo_point_2d
FL,Skittles,660000,Snickers,543529,Reese's Peanut Butter Cups,194117,Florida,"28.4770584262, -82.4664183979"
AL,Hershey's Mini Chocolate Candy Bars,66000,Candy Corn,40173,Tootsie Pops,34434,Alabama,"32.7568799488, -86.8445209909"
NC,Reese's Peanut Butter Cups,104940,M&M's,86689,Candy Corn,41063,North Carolina,"35.5260232743, -79.1309087166"
NE,Sour Patch Kids,105897,Salt Water Taffy,67389,M&M's,24067,Nebraska,"41.5271511243, -99.8108558725"
OR,Reese's Peanut Butter Cups,91740,M&M's,51374,Tootsie Pops,36696,Oregon,"43.9404388614, -120.605272832"
GA,Swedish Fish,148731,Hershey Kisses,88136,Lemonheads,38559,Georgia,"32.6386108573, -83.4271399998"
OK,Snickers,19279,Dubble Bubble Gum,8898,Butterfinger,7415,Oklahoma,"35.5834620071, -97.5082223332"
HI,Hershey Kisses,271042,Hawaiian Host,255984,Milky Way,105405,Hawaii,"20.9951111962, -158.109973803"
AZ,Snickers,963971,Hershey Kisses,680450,Hot Tamales Minis,453633,Arizona,"34.2930670931, -111.66439284"
MO,Milky Way,47143,Dubble Bubble Gum,27857,Butterfinger,23571,Missouri,"38.3676304474, -92.4774252057"
WV,Blow Pops,42438,Hershey's Mini Chocolate Candy Bars,19703,Milky Way,16672,West Virginia,"38.6425674544, -80.6137066672"
WA,Salt Water Taffy,207900,Tootsie Pops,171211,Hershey Kisses,61147,Washington,"47.4117083031, -120.59251591"
TX,Reese's Peanut Butter Cups,198990,Starburst,187284,Almond Joy,81937,Texas,"31.4472163582, -99.3171378622"
TN,Tootsie Pops,58740,Salt Water Taffy,33200,Skittles,12769,Tennessee,"35.8429816539, -86.3434049023"
MI,Candy Corn,150876,Skittles,125730,Starburst,67056,Michigan,"44.8747736031, -85.7309529121"
NY,Sour Patch Kids,198016,Candy Corn,95047,Reese's Peanut Butter Cups,39603,New York,"42.9212290121, -75.5965381876"
WI,Butterfinger,115698,Starburst,115698,Lemonheads,30446,Wisconsin,"44.6399447009, -89.7329331504"
MA,Butterfinger,78573,Sour Patch Kids,67858,Salt Water Taffy,32143,Massachusetts,"42.1600897235, -71.5039872337"
KS,M&M's,247500,Reese's Peanut Butter Cups,210375,Dubble Bubble Gum,111375,Kansas,"38.4847270736, -98.3801554217"
OH,M&M's,171600,Blow Pops,139425,Snickers,96525,Ohio,"40.4154869286, -82.7093771532"
SC,Candy Corn,117480,Skittles,91940,Hot Tamales Minis,35754,South Carolina,"33.8778561662, -80.864595861"
IL,Kit Kat,174606,Sour Patch Kids,116404,M&M's,83145,Illinois,"40.1242036601, -89.1486366271"
KY,Tootsie Pops,77880,3 Musketeers,44930,Dubble Bubble Gum,20967,Kentucky,"37.5266182538, -85.290564198"
ID,Candy Corn,89311,Starburst,54363,Reese's Peanut Butter Cups,34947,Idaho,"44.3890747855, -114.659380123"
MN,Skittles,199320,Tootsie Pops,189354,Almond Joy,89694,Minnesota,"46.3491106649, -94.1983064402"
ME,Sour Patch Kids,66039,M&M's,33019,Starburst,14151,Maine,"45.2743280971, -69.2027604516"
VT,Milky Way,32340,M&M's,23100,Skittles,12320,Vermont,"44.0752885484, -72.6625328064"
IA,Reese's Peanut Butter Cups,60746,M&M's,48597,Butterfinger,18223,Iowa,"42.0746483214, -93.5000900984"
IN,Hot Tamales,101217,Starburst,65068,Snickers,25304,Indiana,"39.9198825011, -86.2818248914"
LA,Lemonheads,108240,Reese's Peanut Butter Cups,76670,Jolly Ranchers Candy,27060,Louisiana,"30.9090732662, -91.8142339347"
AR,Jolly Ranchers Candy,245850,Butterfinger,194631,Hot Tamales Minis,51218,Arkansas,"34.8997724524, -92.4392365614"
DE,Life Savers,19905,Skittles,17061,Candy Corn,8530,Delaware,"38.9949684048, -75.4524914629"
CT,Almond Joy,2619,Milky Way,1366,M&M's,910,Connecticut,"41.5751513269, -72.7382693458"
CO,Twix,5532,Milky Way,4918,Hershey Kisses,2459,Colorado,"38.9985445623, -105.547820672"
NM,Candy Corn,82731,Milky Way,56407,Salt Water Taffy,41365,New Mexico,"34.4213621819, -106.108381152"
WY,Reese's Peanut Butter Cups,31026,Salt Water Taffy,19595,Skittles,17962,Wyoming,"42.9996241083, -107.551458381"
SD,Starburst,27809,Jolly Ranchers Candy,19569,Almond Joy,6179,South Dakota,"44.4361365512, -100.230461054"
MT,Dubble Bubble Gum,25740,Twix,14850,M&M's,10890,Montana,"47.0335173391, -109.645138936"
CA,Assorted Salt Water Taffy,1650000,M&M's,1188000,Skittles,726000,California,"37.2152973691, -119.663836735"
PA,Skittles,299442,M&M's,269497,Hershey's Mini Chocolate Candy Bars,104804,Pennsylvania,"40.8967002414, -77.8389168463"
RI,Candy Corn,16731,M&M's,11583,Twix,7078,Rhode Island,"41.5946290681, -71.5247424671"
DC,M&M's,26400,Tootsie Pops,18276,Blow Pops,10153,District of Columbia,"38.9047661573, -77.0162901114"
NH,Starburst,68871,Snickers,57392,Sour Patch Kids,22957,New Hampshire,"43.680183046, -71.5712250903"
UT,Jolly Ranchers Candy,469590,Reese's Peanut Butter Cups,260883,Tootsie Pops,139137,Utah,"39.3237859438, -111.678213374"
MD,Milky Way,41580,Reese's Peanut Butter Cups,25309,Skittles,10846,Maryland,"38.9464939617, -76.6871775053"
MS,3 Musketeers,115533,Snickers,90417,Butterfinger,45208,Mississippi,"32.7128922722, -89.6533594106"
ND,Hot Tamales,70313,Jolly Ranchers Candy,55510,Candy Corn,44408,North Dakota,"47.4463144273, -100.469332754"
AK,Twix,5082,Blow Pops,4012,Kit Kat,3209,Alaska,"63.7429890149, -151.593421919"
NV,Hershey Kisses,341220,Candy Corn,184827,Skittles,127957,Nevada,"39.3562005995, -116.655226698"
NJ,Tootsie Pops,164019,Skittles,154907,M&M's,82009,New Jersey,"40.1101321462, -74.6556036242"
VA,Hot Tamales,286110,Snickers,232464,Candy Corn,107291,Virginia,"37.5108673493, -78.6663605094"
